address range: vectorA:[00000000b36b7830] - vectorA[00000000b36b7839] 
address range: vectorB:[00000000b36b7820] - vectorB[00000000b36b7829] 
Finished successfully!CPUId, numReadHits, numReadMisses, numReadOnInvalidMisses, numReadRequestsSent, numReadMissesServicedByOthers, numReadMissesServicedByShared, numReadMissesServicedByModified, numWriteHits, numWriteMisses, numWriteOnSharedMisses, numWriteOnInvalidMisses, numInvalidatesSent, numInclusionMisses, numInclusionHits, numLLCMisses, numLLCHits
0,48822,2744,0,2744,0,0,84,20969,716,0,0,8,0,0,0,0
CPUId, numReadHits, numReadMisses, numReadOnInvalidMisses, numReadRequestsSent, numReadMissesServicedByOthers, numReadMissesServicedByShared, numReadMissesServicedByModified, numWriteHits, numWriteMisses, numWriteOnSharedMisses, numWriteOnInvalidMisses, numInvalidatesSent, numInclusionMisses, numInclusionHits, numLLCMisses, numLLCHits
1,8210731,1790444,0,1790444,0,0,1790399,444,20,0,0,5,0,0,0,0
CPUId, numReadHits, numReadMisses, numReadOnInvalidMisses, numReadRequestsSent, numReadMissesServicedByOthers, numReadMissesServicedByShared, numReadMissesServicedByModified, numWriteHits, numWriteMisses, numWriteOnSharedMisses, numWriteOnInvalidMisses, numInvalidatesSent, numInclusionMisses, numInclusionHits, numLLCMisses, numLLCHits
2,8209743,1790333,0,1790333,0,0,1790331,36,8,0,0,5,0,0,0,0
CPUId, numReadHits, numReadMisses, numReadOnInvalidMisses, numReadRequestsSent, numReadMissesServicedByOthers, numReadMissesServicedByShared, numReadMissesServicedByModified, numWriteHits, numWriteMisses, numWriteOnSharedMisses, numWriteOnInvalidMisses, numInvalidatesSent, numInclusionMisses, numInclusionHits, numLLCMisses, numLLCHits
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPUId, numReadHits, numReadMisses, numReadOnInvalidMisses, numReadRequestsSent, numReadMissesServicedByOthers, numReadMissesServicedByShared, numReadMissesServicedByModified, numWriteHits, numWriteMisses, numWriteOnSharedMisses, numWriteOnInvalidMisses, numInvalidatesSent, numInclusionMisses, numInclusionHits, numLLCMisses, numLLCHits
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2839,594
