Pthread init done
Value: 64
Finished successfully! 
CPUId, numReadHits, numReadMisses, numReadOnInvalidMisses, numReadRequestsSent, numReadMissesServicedByOthers, numReadMissesServicedByShared, numReadMissesServicedByModified, numWriteHits, numWriteMisses, numWriteOnSharedMisses, numWriteOnInvalidMisses, numInvalidatesSent, numInclusionMisses, numInclusionHits, numLLCMisses, numLLCHits
0,1036728,68976,0,68976,0,0,14678,36422,5050,0,0,3,0,0,0,0
CPUId, numReadHits, numReadMisses, numReadOnInvalidMisses, numReadRequestsSent, numReadMissesServicedByOthers, numReadMissesServicedByShared, numReadMissesServicedByModified, numWriteHits, numWriteMisses, numWriteOnSharedMisses, numWriteOnInvalidMisses, numInvalidatesSent, numInclusionMisses, numInclusionHits, numLLCMisses, numLLCHits
1,985223,66212,0,66212,0,0,15487,974,114,0,0,12,0,0,0,0
CPUId, numReadHits, numReadMisses, numReadOnInvalidMisses, numReadRequestsSent, numReadMissesServicedByOthers, numReadMissesServicedByShared, numReadMissesServicedByModified, numWriteHits, numWriteMisses, numWriteOnSharedMisses, numWriteOnInvalidMisses, numInvalidatesSent, numInclusionMisses, numInclusionHits, numLLCMisses, numLLCHits
2,984118,66025,0,66025,0,0,14581,513,86,0,0,12,0,0,0,0
CPUId, numReadHits, numReadMisses, numReadOnInvalidMisses, numReadRequestsSent, numReadMissesServicedByOthers, numReadMissesServicedByShared, numReadMissesServicedByModified, numWriteHits, numWriteMisses, numWriteOnSharedMisses, numWriteOnInvalidMisses, numInvalidatesSent, numInclusionMisses, numInclusionHits, numLLCMisses, numLLCHits
3,984325,66058,0,66058,0,0,11607,594,99,0,0,10,0,0,0,0
CPUId, numReadHits, numReadMisses, numReadOnInvalidMisses, numReadRequestsSent, numReadMissesServicedByOthers, numReadMissesServicedByShared, numReadMissesServicedByModified, numWriteHits, numWriteMisses, numWriteOnSharedMisses, numWriteOnInvalidMisses, numInvalidatesSent, numInclusionMisses, numInclusionHits, numLLCMisses, numLLCHits
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7219,209011
